,Team,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,ORank,DRank,O%,D%,NRtg/A,ORtg/A,DRtg/A
0,New York Liberty,28.6,17,4,8.81,-1.57,7.25,110.2,99.0,11.2,78.7,1.0,4.0,1.7316643961222453,0.5485222826980981,12.129999999999999,7.116666666666674,5.013333333333325
1,Minnesota Lynx,27.9,16,6,8.23,-0.35,7.88,103.4,93.1,10.3,78.0,5.5,1.0,0.21042839424792484,1.7316643961222453,12.450000000000001,0.3166666666666771,12.133333333333324
2,Connecticut Sun,29.2,17,4,7.1,-1.63,5.47,106.0,96.6,9.4,74.5,3.0,2.0,0.8122178014999129,1.1503493803760079,10.27,2.9166666666666714,7.353333333333328
3,Seattle Storm,29.1,14,7,6.05,-0.63,5.42,104.2,96.7,7.5,79.7,4.0,3.0,0.5485222826980981,0.8122178014999129,9.370000000000001,1.1166666666666742,8.253333333333327
4,Las Vegas Aces,29.4,13,7,5.65,-1.06,4.59,110.0,103.0,7.0,80.7,2.0,6.0,1.1503493803760079,0.10463345561407526,8.44,6.916666666666671,1.523333333333328
5,Chicago Sky,26.1,8,12,-1.75,-0.3,-2.05,100.1,102.3,-2.2,79.3,9.0,5.0,-0.5485222826980979,0.31863936396437514,0.0,-2.9833333333333343,2.9833333333333343
6,Phoenix Mercury,30.5,11,10,-1.9,0.94,-0.97,103.4,105.7,-2.3,79.3,5.5,9.0,0.21042839424792484,-0.5485222826980979,1.1400000000000001,0.3166666666666771,0.823333333333323
7,Washington Mystics,27.4,5,17,-4.41,0.66,-3.75,99.2,104.7,-5.5,78.8,10.5,8.0,-0.967421566101701,-0.31863936396437514,-2.34,-3.8833333333333258,1.543333333333326
8,Atlanta Dream,28.0,7,13,-5.1,0.44,-4.66,97.6,104.2,-6.6,77.7,12.0,7.0,-1.731664396122245,-0.1046334556140754,-3.6599999999999993,-5.483333333333334,1.823333333333335
9,Indiana Fever,25.6,9,13,-6.64,1.56,-5.08,102.5,110.9,-8.4,78.7,7.0,11.0,-0.1046334556140754,-1.1503493803760079,-4.34,-0.5833333333333286,-3.7566666666666713
10,Los Angeles Sparks,26.9,5,17,-7.0,0.74,-6.26,99.2,108.1,-8.9,78.6,10.5,10.0,-0.967421566101701,-0.8122178014999129,-5.66,-3.8833333333333258,-1.7766666666666744
11,Dallas Wings,26.6,5,17,-8.23,0.98,-7.25,101.2,111.5,-10.3,79.1,8.0,12.0,-0.31863936396437514,-1.731664396122245,-6.82,-1.8833333333333258,-4.9366666666666745
